,date,avg_temp,daily_LW_hrs,Risk_x,Avg_rainfall,Risk_y,spray
106,2021-05-10,33.249166666666675,0,Low,NA,NA,0
107,2021-05-11,32.62333333333333,0,Low,NA,NA,0
108,2021-05-12,31.656666666666663,0,Low,NA,NA,0
109,2021-05-13,31.94791666666667,0,Low,NA,NA,0
110,2021-05-14,31.34125,0,Low,0.11200000000000002,NA,0
111,2021-05-15,32.885,0,Low,NA,NA,0
112,2021-05-16,32.45416666666666,2,Low,NA,NA,0
113,2021-05-17,28.56625,2,Low,NA,NA,0
114,2021-05-18,28.735000000000003,0,Low,NA,NA,0
115,2021-05-19,28.590952380952384,0,Low,NA,NA,1
116,2021-05-20,28.142083333333332,0,Low,NA,NA,0
117,2021-05-21,31.471666666666664,0,Low,NA,NA,0
118,2021-05-22,31.80166666666666,0,Low,NA,NA,0
119,2021-05-23,31.36749999999999,0,Low,NA,NA,0
120,2021-05-24,31.45041666666666,0,Low,0.196,NA,0
121,2021-05-25,33.295416666666675,0,Low,NA,NA,0
122,2021-05-26,32.25333333333333,0,Low,NA,NA,0
123,2021-05-27,30.907083333333333,1,Low,NA,NA,0
124,2021-05-28,29.54708333333333,3,Low,NA,NA,0
125,2021-05-29,28.27666666666667,3,Low,NA,NA,1
126,2021-05-30,28.1075,1,Low,NA,NA,0
127,2021-05-31,23.566,0,Low,4.9190000000000005,Medium,0
